"1001","Elegant Phone Cover","150.00","90","20.00"
"1002","laptob bag that can give your laptop the comfort i","400.00","200","500.00"
"1003","20 gb flash drive that can plug into any device","100.00","200","120.00"
"1004","Php Coding Book","1000.00","50","2000.00"
"1005","Flat screen tv with usb connection ports","15000.00","20","20000.00"
"1006","Android Beginners guide ","3000.00","10","4000.00"
"1007","CD cover that can contain about 100 cds ","200.00","100","220.00"
"1008","Casio Calculator ","100.00","20","200.00"
"1009","reading glasses case, keep your reading glass safe","30.00","20","50.00"
"1010","High powered Fan that can cool you down on a hot d","200.00","10","300.00"
"1011","Sunglasses that can give you a nice look ","210.00","10","220.00"
"1012","A watch ","200.00","5","220.00"
"1013","a key chain that can keep your keys together","50.00","6","75.00"
"1014","Scarf that can keep you warm","60.00","5","100.00"
"1015","A strong wooden table ","150.00","100","200.00"
